0 82.98636
2 78.15455
5 82.07273
7 82.07273
9 78.04091
12 78.62727
14 78.35000
16 82.13636
19 78.19545
21 82.03637
23 82.23636
25 82.30909
28 82.29546
30 82.30000
32 82.30909
35 80.86363
37 145.45454
39 145.45454
43 121.79091
45 133.19091
47 145.45454
50 145.45454
52 145.45454
54 77.85000
56 145.45454
59 145.45454
61 145.45454
64 142.40454
66 82.18182
68 85.18182
70 145.45454
73 143.39544
75 145.45454
77 145.45454
80 75.49091
82 75.48636
85 79.83182
88 73.79546
90 77.46364
92 78.46818
95 76.20909
