0 75.37728
3 77.28182
5 74.84091
7 74.41819
9 106.45455
12 81.62273
14 81.64091
16 81.77273
19 81.79091
21 77.75909
23 77.85455
26 77.85455
28 77.86818
30 79.88182
32 81.01364
36 81.61363
38 82.08636
40 82.07727
43 82.09545
45 80.25454
47 75.06819
49 77.60455
52 77.60000
54 77.78182
56 77.80001
59 73.56364
61 77.57727
63 77.59545
66 77.10455
68 74.34091
70 91.35000
72 79.04545
75 79.13182
78 81.10910
80 78.71818
83 79.17273
85 78.91818
87 77.57727
89 78.76818
92 82.10909
94 78.90000
96 78.37727
99 80.61818
101 78.58637
103 80.48181
105 77.82727
108 82.47273
110 125.70001
112 145.45454
115 145.45454
117 75.02273
120 102.19091
123 83.38636
125 77.72273
127 79.75000
130 77.96818
132 79.57728
134 82.10000
136 82.19545
139 84.15454
141 116.38636
143 78.52273
146 77.78636
148 78.19545
150 78.77727
153 80.25454
155 80.05000
157 79.95455
159 84.55455
163 79.15000
165 78.35910
167 81.05001
170 80.17272
172 78.48181
174 78.08637
176 81.81818
179 127.79092
181 80.84545
183 81.61819
186 81.68182
188 81.65909
190 107.98637
193 82.61363
195 82.74092
197 119.83636
199 78.16819
202 92.19091
205 80.67272
207 79.89546
210 79.92273
212 82.50910
214 78.43181
217 85.18182
219 83.98182
221 82.56364
223 78.51818
226 79.36818
228 80.16364
230 79.30000
233 84.68637
