2 250 0.0216 97 0.0095
3 259 0.0221 96 0.0096
4 236 0.0205 96 0.0090
5 211 0.0190 95 0.0086
6 269 0.0233 96 0.0094
7 271 0.0228 96 0.0091
8 217 0.0189 97 0.0098
9 234 0.0200 96 0.0096
10 224 0.0199 96 0.0090
11 215 0.0189 96 0.0087
12 271 0.0238 96 0.0097
13 288 0.0249 97 0.0091
14 230 0.0203 96 0.0088
15 224 0.0196 97 0.0093
16 233 0.0200 95 0.0088
17 256 0.0219 96 0.0094
18 246 0.0212 96 0.0088
19 396 0.0326 95 0.0091
20 283 0.0245 96 0.0086
21 256 0.0222 96 0.0096
22 200 0.0181 95 0.0094
23 220 0.0191 96 0.0091
24 258 0.0221 96 0.0086
25 246 0.0223 95 0.0092
26 213 0.0187 96 0.0086
27 222 0.0195 97 0.0100
28 223 0.0198 97 0.0088
29 238 0.0211 96 0.0093
30 238 0.0212 96 0.0087
31 301 0.0253 94 0.0088
32 234 0.0202 97 0.0100
33 226 0.0203 96 0.0087
34 223 0.0195 96 0.0089
35 248 0.0209 96 0.0092
36 242 0.0209 95 0.0086
37 206 0.0192 96 0.0090
38 226 0.0203 96 0.0088
39 209 0.0180 97 0.0091
40 193 0.0163 96 0.0095
41 263 0.0239 96 0.0093
42 261 0.0225 98 0.0096
43 257 0.0227 96 0.0086
44 226 0.0203 96 0.0091
45 237 0.0213 97 0.0091
46 236 0.0207 96 0.0082
47 254 0.0219 97 0.0101
48 216 0.0188 98 0.0106
49 272 0.0234 94 0.0084
50 219 0.0186 96 0.0101
51 257 0.0220 94 0.0091
52 215 0.0195 96 0.0084
53 261 0.0225 94 0.0088
54 259 0.0233 97 0.0103
55 233 0.0212 97 0.0088
56 250 0.0222 97 0.0090
57 204 0.0170 97 0.0091
58 223 0.0191 97 0.0090
59 247 0.0212 98 0.0091
60 322 0.0267 97 0.0092
61 240 0.0210 94 0.0085
62 255 0.0231 98 0.0091
63 219 0.0188 96 0.0093
64 219 0.0188 94 0.0087
65 233 0.0195 97 0.0087
66 228 0.0201 96 0.0084
67 212 0.0187 96 0.0090
68 197 0.0173 98 0.0109
69 219 0.0195 97 0.0095
70 266 0.0226 94 0.0091
71 223 0.0192 95 0.0097
72 237 0.0210 96 0.0087
73 204 0.0185 94 0.0090
74 216 0.0184 96 0.0086
75 225 0.0196 97 0.0102
76 238 0.0209 95 0.0090
77 224 0.0203 97 0.0097
78 299 0.0260 96 0.0093
79 261 0.0224 95 0.0099
80 244 0.0214 95 0.0097
81 246 0.0205 96 0.0092
82 203 0.0172 95 0.0103
83 268 0.0228 95 0.0095
84 304 0.0257 97 0.0084
85 288 0.0257 96 0.0089
86 224 0.0189 96 0.0094
87 210 0.0188 96 0.0088
88 229 0.0197 95 0.0083
89 236 0.0213 94 0.0101
90 203 0.0175 97 0.0103
91 254 0.0218 97 0.0096
92 277 0.0239 96 0.0087
93 238 0.0202 94 0.0093
94 274 0.0235 98 0.0086
95 350 0.0298 95 0.0107
96 247 0.0213 94 0.0091
97 214 0.0192 95 0.0106
98 210 0.0188 96 0.0092
99 250 0.0225 96 0.0100
100 212 0.0188 94 0.0090
101 214 0.0185 97 0.0100
