2 250 0.0216
3 259 0.0221
4 236 0.0205
5 211 0.0190
6 269 0.0233
7 271 0.0228
8 217 0.0189
9 234 0.0200
10 224 0.0199
11 215 0.0189
12 271 0.0238
13 288 0.0249
14 230 0.0203
15 224 0.0196
16 233 0.0200
17 256 0.0219
18 246 0.0212
19 396 0.0326
20 283 0.0245
21 256 0.0222
22 200 0.0181
23 220 0.0191
24 258 0.0221
25 246 0.0223
26 213 0.0187
27 222 0.0195
28 223 0.0198
29 238 0.0211
30 238 0.0212
31 301 0.0253
32 234 0.0202
33 226 0.0203
34 223 0.0195
35 248 0.0209
36 242 0.0209
37 206 0.0192
38 226 0.0203
39 209 0.0180
40 193 0.0163
41 263 0.0239
42 261 0.0225
43 257 0.0227
44 226 0.0203
45 237 0.0213
46 236 0.0207
47 254 0.0219
48 216 0.0188
49 272 0.0234
50 219 0.0186
51 257 0.0220
52 215 0.0195
53 261 0.0225
54 259 0.0233
55 233 0.0212
56 250 0.0222
57 204 0.0170
58 223 0.0191
59 247 0.0212
60 322 0.0267
61 240 0.0210
62 255 0.0231
63 219 0.0188
64 219 0.0188
65 233 0.0195
66 228 0.0201
67 212 0.0187
68 197 0.0173
69 219 0.0195
70 266 0.0226
71 223 0.0192
72 237 0.0210
73 204 0.0185
74 216 0.0184
75 225 0.0196
76 238 0.0209
77 224 0.0203
78 299 0.0260
79 261 0.0224
80 244 0.0214
81 246 0.0205
82 203 0.0172
83 268 0.0228
84 304 0.0257
85 288 0.0257
86 224 0.0189
87 210 0.0188
88 229 0.0197
89 236 0.0213
90 203 0.0175
91 254 0.0218
92 277 0.0239
93 238 0.0202
94 274 0.0235
95 350 0.0298
96 247 0.0213
97 214 0.0192
98 210 0.0188
99 250 0.0225
100 212 0.0188
101 214 0.0185
